championId,verdict,refImage,bands,rawRuns,maxPairwiseDeltaE,foregroundRatio,bboxHeightRatio,framesDropped,hash,duplicateOf,bandHexes,reasons
godie-hgam,FAIL,godie-hgam.webp,0,0,0.00,0.0000,0.0000,0,,,,解碼失敗：不是 PNG（.webp）—— 目前只支援 PNG 參考圖
godie-hjai,DUPLICATE,godie-hjai.png,11,21,107.80,0.9790,1.0000,0,291ab8ba6f7ddfcd,godie-h020,hair=#030303 hatBand=#fc8700 hatBrim=#000000 face=#e44705 collar=#000000 chestTrim=#e88f26 top=#000000 waist=#f1e2d4 pants=#000000 shin=#f2e3d1 shoe=#000000,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3675 種像素顏色收斂成 11 條帶，3664 種中間色被眾數 + ΔE<12 併段吸收（自動修） ｜ 條碼 hash 291ab8ba6f7ddfcd 與 godie-h020 相同 —— 圖示重複，強制人工
godie-hlgr,PASS,godie-hlgr.png,11,35,100.00,0.9824,1.0000,0,fb0aa6dd4f8c784a,,hair=#262b15 hatBand=#e6eaef hatBrim=#000000 face=#ffffff collar=#000000 chestTrim=#ffffff top=#000000 waist=#ffffff pants=#000000 shin=#ffffff shoe=#000000,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3865 種像素顏色收斂成 11 條帶，3854 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-hpal,PASS,godie-hpal.png,11,16,85.51,0.9751,1.0000,0,9b446085825da002,,hair=#30301f hatBand=#c4c4cb hatBrim=#515141 face=#262626 collar=#f0e0bd chestTrim=#a16626 top=#fddab2 waist=#a2a5a4 pants=#212419 shin=#6d6c68 shoe=#151305,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3087 種像素顏色收斂成 11 條帶，3076 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-hpb1,PASS,godie-hpb1.png,11,42,82.86,0.9780,1.0000,0,cb7bc9e33e86a034,,hair=#362720 hatBand=#d4d4d0 hatBrim=#322322 face=#f49d78 collar=#32332f chestTrim=#ffe7d4 top=#20202c waist=#f0e4dc pants=#432a21 shin=#d16a5b shoe=#606460,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3972 種像素顏色收斂成 11 條帶，3961 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-huth,PASS,godie-huth.png,11,30,71.89,0.9751,1.0000,0,12c9240d791b0ffa,,hair=#30251b hatBand=#c7c9c5 hatBrim=#1c2121 face=#d48796 collar=#282821 chestTrim=#e3919a top=#52b9e3 waist=#573885 pants=#e2aba9 shin=#7152a6 shoe=#606365,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3301 種像素顏色收斂成 11 條帶，3290 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-hvsh,PASS,godie-hvsh.png,11,29,85.15,0.9763,1.0000,0,4c3c8d0cff58ac7b,,hair=#302f2f hatBand=#d3d4d1 hatBrim=#a05897 face=#ffffff collar=#c781bf chestTrim=#d5d8d6 top=#b777af waist=#ffffff pants=#2a2721 shin=#ffffff shoe=#232626,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3875 種像素顏色收斂成 11 條帶，3864 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-hvwd,PASS,godie-hvwd.png,11,20,100.00,0.9773,1.0000,0,d4bc2ad6c2e4ebc1,,hair=#2f2a1f hatBand=#d0dade hatBrim=#2b2b21 face=#000000 collar=#646657 chestTrim=#ffffff top=#302f25 waist=#fee2d7 pants=#272820 shin=#61626c shoe=#101200,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3180 種像素顏色收斂成 11 條帶，3169 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-n003,PASS,godie-n003.png,11,33,114.78,0.9995,1.0000,0,755db664a62a1853,,hair=#222426 hatBand=#c7cfc2 hatBrim=#000000 face=#ffff90 collar=#86653a chestTrim=#ffff98 top=#00000d waist=#ffffff pants=#f5f689 shin=#f6f2ff shoe=#000000,sleeve 與 faceColors 無法從中軸條碼推得：草稿為 long + 最暗帶，需人工確認 ｜ 反鋸齒/漸層：3880 種像素顏色收斂成 11 條帶，3869 種中間色被眾數 + ΔE<12 併段吸收（自動修）
godie-n00b,FAIL,godie-n00b.webp,0,0,0.00,0.0000,0.0000,0,,,,解碼失敗：不是 PNG（.webp）—— 目前只支援 PNG 參考圖
